gene,selection_intensity,ci_low_95,ci_high_95
PRDM16,769.031225421821,127.874104934011,2374.64339474912
LRRC47,1505.62260820164,250.354115402608,4649.11585750653
CHD5,322.666498663833,53.6528097303932,996.341846951576
SLC2A7,618.237478675478,102.800212142995,1909.01742414906
CLSTN1,1468.04379809632,244.105473419271,4533.0808976409
VPS13D,467.603860293114,77.7529200110805,1443.88481959363
PRAMEF12,92.8363642982055,15.4367827984717,286.663495794709
PRAMEF4,57.1254083427804,9.49878129900644,176.393995759858
PRAMEF14,67.3657055197605,11.2015331524848,208.014350174638
PRAMEF20,100.213214105357,16.6633983558173,309.442157028548
CLCNKA,639.993212523439,106.417713462466,1976.19589147036
PADI1,184.619745694219,30.6984721457368,570.07579527552
ARHGEF10L,350.879670370649,58.3440763708507,1083.45977910336
HSPG2,579.307238228371,96.3268869564468,1788.80705642381
C1QB,324.555760768527,53.9669714208873,1002.17490169363
DHDDS,111.661204323756,18.5669423780872,344.792718380389
ARID1A,1186.47112013881,197.285367671136,3663.64509278787
FAM46B,1723.2266442819,286.537211213397,5321.03973544934
PTPRU,3007.28482919979,500.049665535288,9286.00837826432
PUM1,2117.99987886298,352.18003579175,6540.0385322972
PHC2,124.828340571241,20.7563960173693,385.449470695537
CSMD2,1282.26104126505,213.213581807706,3959.4182030124
DLGAP3,187.714206521698,31.213021749389,579.630781602047
KIAA0754,3032.66171980546,504.269445068946,9364.36611270244
ZMPSTE24,796.62401242849,132.462208340485,2459.84593104097
KLF17,329.556334026644,54.7984635830338,1017.61589148964
CYP4A22,1803.15535525918,299.827596259246,5567.85336862843
DAB1,50.8061194819983,8.44801279772688,156.88109153525
OMA1,342.806089723221,57.0016092483129,1058.52968073437
DOCK7,566.421717019154,94.1840036400915,1749.03135823351
CACHD1,1010.8794447497,168.088249408613,3121.42790637917
SGIP1,153.562498737288,25.5342906758308,474.175898911261
C1orf141,3113.18258986034,517.658207368335,9613.00300503368
IL12RB2,185.293133903508,30.8103453322438,572.159654342948
DIRAS3,89.5722339207325,14.8940224252088,276.584510218792
RPE65,332.261065647258,55.2481926729841,1025.96824236603
DEPDC1,177.804352737851,29.5651864377142,549.032177932243
LRRC7,636.85719054005,105.896259417357,1966.51222892428
LRRIQ3,271.315437359152,45.114189458889,837.777952558515
C1orf173,721.824797456134,120.024570056418,2228.8781747388
ACADM,2096.9865730401,348.685796285147,6475.15341703611
ASB17,42.0428860226433,6.99087436424849,129.821661256772
PTGFR,1497.13354635542,248.942414272247,4622.90953622413
LPHN2,165.423142344179,27.5064478469359,510.799916326525
TTLL7,344.860879859718,57.3432742736149,1064.87474742852
CLCA4,194.046950165199,32.2660148667201,599.185810006411
GTF2B,707.674353221252,117.671711110361,2185.18278297524
DPYD,307.319548391932,51.1009333696164,948.952689911245
LPPR5,359.53141203003,59.7826815434179,1110.17497768121
LPPR4,93.1855949974309,15.4948411062834,287.742402621799
S1PR1,77.6649957605327,12.914094183157,239.816862095525
COL11A1,1001.36671046634,192.293475779655,2937.24882958272
AMY2B,193.647489597676,32.199598720162,597.952083354234
NTNG1,479.316135181479,79.7004446669212,1480.05022928945
SYPL2,587.067781575394,97.6173390227957,1812.76908644249
CYB561D1,448.105852065175,74.5108093009986,1383.6778484073
OVGP1,1126.32166482532,187.281051229729,3477.83956798976
KCND3,157.445957614059,26.1800284773831,486.167308031852
SYT6,98.7173982906147,16.4146770589377,304.823220180514
NRAS,3456.75753038826,859.65464858979,8963.71652502724
HAO2,450.658628179061,74.9352776745254,1391.56066404773
NOTCH2,1068.09790000177,177.602676166879,3298.11346704166
NBPF16,2922.92047462984,486.021510895329,9025.50065404365
HIST2H2AC,1864.11865442536,309.964539140002,5756.10023964789
MTMR11,864.975627118656,143.82768701279,2670.90414826546
PLEKHO1,93.4832002722273,15.5443057189934,288.662345717981
APH1A,2549.91643104015,423.998835054034,7873.72452116674
