gene,rate
AC011997.1,1.41542079004798e-06
AC012067.1,2.14591496754896e-06
AC012123.1,4.37086560539475e-06
AC012313.1,5.55257669406491e-06
AC012360.1,3.3714596002862e-06
AC012414.1,1.99202078223459e-06
AC012485.1,1.94078248960648e-06
AC012493.2,2.26582573581575e-06
AC013269.5,3.12208810917022e-06
AC013449.1,2.39908985622423e-06
AC013468.1,1.76782611568007e-06
AC013469.1,3.0546052714977e-06
AC015660.1,1.89387659684406e-06
AC015989.1,6.54432117706826e-06
AC016251.1,1.93009587567944e-06
AC016559.1,2.06007126359109e-06
AC016586.1,1.10036993316714e-06
AC016745.1,1.57020464203856e-06
AC016752.1,4.26682419464455e-07
AC016757.3,1.31254900917702e-06
AC016885.1,4.31761797734141e-06
AC017028.1,1.93514052430578e-06
AC017081.1,1.24126303179926e-06
AC018445.1,2.35656847709678e-06
AC018512.1,5.06731105736067e-07
AC018630.1,2.16803889403073e-06
AC018755.1,1.3216103221965e-06
AC018816.3,1.1214953438534e-06
AC018867.1,1.37966222488463e-06
AC019206.1,9.49478476808591e-07
AC019294.1,1.47210818944799e-06
AC020629.1,3.02413787040727e-06
AC020907.1,1.90387502630118e-06
AC020952.1,2.22729177644179e-06
AC021218.2,1.77006123617653e-06
AC021860.1,1.51549209285264e-06
AC022210.1,1.43707684205253e-06
AC022431.2,1.64115936683122e-06
AC022498.1,1.16380351223932e-06
AC022819.2,7.18997192549519e-07
AC023469.1,1.87661696388256e-06
AC023590.1,2.18806925932167e-06
AC023632.1,1.42374118358883e-06
AC024257.1,1.79675278674403e-06
AC024580.1,1.08280577574386e-06
AC025278.1,4.13126850141656e-06
AC025287.1,2.9361524161375e-06
AC026369.1,4.56436143248004e-06
AC026461.1,1.67427490437918e-06
AC026740.1,8.94135916653765e-07
AC027228.1,1.68440610747689e-06
AC027307.3,1.6145500679317e-06
AC027309.1,2.07975263053224e-06
AC027763.2,1.78262598306072e-06
AC037199.1,3.47501119309695e-06
AC051642.1,1.77449875642174e-06
AC055736.1,2.47207109963145e-06
AC061975.10,1.42134282608815e-06
AC062017.1,1.21395320353354e-06
AC064874.1,2.16678067494016e-06
AC068039.1,1.85043429627494e-06
AC068620.1,1.6069288939557e-06
AC069547.1,2.00769223457929e-06
AC069547.2,2.92923259571191e-06
AC073188.1,3.02141747992747e-06
AC073333.1,8.72915237193479e-07
AC073343.1,2.14549298505061e-06
AC073528.1,2.75306983345418e-06
AC073569.1,1.66917304065171e-06
AC073657.1,1.29701605839617e-06
AC074091.13,1.36283907077853e-06
AC074212.3,1.1303729968526e-06
AC074389.6,1.92808509096105e-06
AC078925.1,1.31424896345786e-06
AC079354.1,2.11609915557488e-06
AC079354.2,1.37794949957718e-06
AC079602.1,1.78198749466499e-06
AC079612.1,2.13141995176067e-06
AC087239.1,1.89464123208205e-06
AC087477.1,2.05136383408346e-06
AC090427.1,3.85146995068572e-06
AC090574.1,5.73629494847095e-06
AC090616.2,1.47105914612045e-06
AC090673.2,1.69529070892644e-06
AC091150.1,2.02677248313988e-06
AC091801.1,2.53242862781586e-06
AC091948.1,6.24032059792043e-06
AC092291.2,2.74471127515978e-06
AC092384.1,2.58058437420885e-06
