gene,rate
AC011997.1,1.06504844969773e-06
AC012067.1,1.65570694533136e-06
AC012123.1,2.95449491682099e-06
AC012313.1,3.57531090989397e-06
AC012360.1,2.47504190424887e-06
AC012414.1,1.44559348721609e-06
AC012485.1,1.40597921594701e-06
AC012493.2,1.63341099592325e-06
AC013269.5,2.29016483842644e-06
AC013449.1,1.78619195327727e-06
AC013468.1,1.39114053017099e-06
AC013469.1,2.24085119696349e-06
AC015660.1,1.39158433897167e-06
AC015989.1,4.34748398456513e-06
AC016251.1,1.43148012518002e-06
AC016559.1,1.49571700388433e-06
AC016586.1,8.3962321066748e-07
AC016745.1,1.15396021540015e-06
AC016752.1,3.58344160072395e-07
AC016757.3,9.89563521770316e-07
AC016885.1,2.93192685698259e-06
AC017028.1,1.41864218922706e-06
AC017081.1,9.39930717073867e-07
AC018445.1,1.68205818653311e-06
AC018512.1,3.93050977821446e-07
AC018630.1,1.59217137321636e-06
AC018755.1,9.96656463692035e-07
AC018816.3,1.34793964763971e-06
AC018867.1,1.09263640395081e-06
AC019206.1,7.61511060789028e-07
AC019294.1,1.09296242299697e-06
AC020629.1,2.21111825852698e-06
AC020907.1,1.41936341136734e-06
AC020952.1,1.62750895714237e-06
AC021218.2,1.28896187871422e-06
AC021860.1,1.11260454409049e-06
AC022210.1,1.13267820855667e-06
AC022431.2,1.21037569201684e-06
AC022498.1,1.37166462551483e-06
AC022819.2,5.56526485611457e-07
AC023469.1,1.31669713734104e-06
AC023590.1,1.57940278513704e-06
AC023632.1,1.05368921595956e-06
AC024257.1,1.31296320492713e-06
AC024580.1,8.19334543614817e-07
AC025278.1,2.94535135939577e-06
AC025287.1,1.93158862732046e-06
AC026369.1,3.16065001926943e-06
AC026461.1,1.29645982778887e-06
AC026740.1,7.00597508564182e-07
AC027228.1,1.25581033980827e-06
AC027307.3,1.19601747408069e-06
AC027309.1,1.5220584581713e-06
AC027763.2,1.29635101435699e-06
AC037199.1,2.4761854304052e-06
AC051642.1,1.35798948072609e-06
AC055736.1,1.90733423424953e-06
AC061975.10,1.05557815292571e-06
AC062017.1,9.81322826078994e-07
AC064874.1,1.61466395479612e-06
AC068039.1,1.37617439570851e-06
AC068620.1,1.15186998621664e-06
AC069547.1,1.49910800412829e-06
AC069547.2,2.05264054043476e-06
AC073188.1,2.20320109426869e-06
AC073333.1,6.63122500980202e-07
AC073343.1,1.5263335583192e-06
AC073528.1,1.84988676805871e-06
AC073569.1,1.23240366614372e-06
AC073657.1,9.8929164597867e-07
AC074091.13,1.0098098987462e-06
AC074212.3,8.29510519208043e-07
AC074389.6,1.42247752116485e-06
AC078925.1,1.00048631620272e-06
AC079354.1,1.40021463721086e-06
AC079354.2,1.02706440539103e-06
AC079602.1,1.29965178155427e-06
AC079612.1,1.55865432940472e-06
AC087239.1,1.31785616523766e-06
AC087477.1,1.5196403252391e-06
AC090427.1,2.80935104235221e-06
AC090574.1,4.14298376254975e-06
AC090616.2,1.12652111818887e-06
AC090673.2,1.25250774738766e-06
AC091150.1,1.48421798356114e-06
AC091801.1,1.88715323299649e-06
AC091948.1,4.24236911498646e-06
AC092291.2,1.91764636000812e-06
AC092384.1,2.02148496565018e-06
AC092675.3,1.9646146106925e-06
AC092687.4,1.46526098970159e-06
AC092782.1,3.60130365358308e-06
AC092811.1,1.06165674019139e-06
AC092964.1,1.40866204270763e-06
AC092964.2,1.52179110557182e-06
AC093323.1,5.67843555274468e-07
AC093802.1,3.48964908501381e-06
AC096582.1,1.25866893686204e-06
AC096644.1,3.93490984464656e-06
AC099344.1,1.09078163910975e-06
AC099552.4,3.75865024874977e-06
AC102948.2,3.78293435809567e-06
AC104057.1,1.14880120234056e-06
AC104472.1,1.22641253761017e-06
AC104809.3,1.33655232923071e-06
AC105020.1,7.57638346817402e-07
AC106017.1,1.11582984117737e-06
AC106873.4,2.25536570979164e-06
AC106876.2,1.57851875830372e-06
AC107021.1,2.14143759079847e-06
AC108868.1,5.33131760085634e-06
AC109583.1,7.84767677405773e-07
AC110084.1,1.12390668052665e-06
AC110619.2,1.0511858797978e-06
AC110771.1,6.19033937975306e-07
AC110781.3,1.20528409572916e-06
AC110792.1,9.9668673260552e-07
AC111200.1,3.75611404446383e-06
AC112693.2,1.93455608364212e-06
AC112715.2,1.45978576532115e-06
AC112721.1,2.80091259792721e-06
AC114783.1,2.05837690502563e-06
AC116407.2,1.24796289037306e-06
AC117395.1,1.30645827735381e-06
AC121757.1,2.2456209678759e-06
AC126614.1,9.50123815355525e-07
AC127496.1,1.56406695904564e-06
AC131097.4,1.19183495376102e-06
AC131935.1,1.34277820384204e-06
AC132216.1,1.18495361790882e-06
AC132872.2,9.82039880626057e-07
AC135178.1,1.24528018812394e-06
AC135983.2,7.26843541700914e-07
AC136604.1,1.38578544624069e-06
AC137056.1,2.71316562711138e-06
AC138393.1,1.08989254498609e-06
AC138517.1,8.38982964182701e-07
AC138647.1,2.95242747141972e-06
AC138655.1,1.6245313715635e-06
AC139100.2,9.28648922532759e-07
AC139768.1,8.20377632714501e-07
AC140061.12,9.54060657422731e-07
AC140481.2,1.92518520087092e-06
AC142381.1,1.45225711575309e-06
AC144568.2,1.28043647882729e-06
AC145676.2,7.97554322201897e-07
AC187652.1,8.2570817411879e-07
AC226150.4,2.42378157690763e-06
ACAA1,6.84498274828958e-07
ACAA2,1.12184567299402e-06
ACACA,9.0606263414728e-07
ACACB,3.51885608053582e-06
ACAD10,1.37159889578021e-06
ACAD11,1.15621354419627e-06
ACAD8,1.66696415371441e-06
