third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
SSX3,458,2,154,1,408,7,107,0
SIGLEC6,453,7,149,6,399,16,100,7
PPIH,458,2,155,0,414,1,106,1
OR51M1,457,3,154,1,407,8,102,5
FSCB,443,17,151,4,381,34,100,7
DNAJC1,457,3,154,1,410,5,104,3
YTHDC2,456,4,153,2,406,9,102,5
BRS3,455,5,154,1,408,7,106,1
NMBR,456,4,154,1,403,12,106,1
ZIK1,452,8,152,3,408,7,104,3
CSRNP3,456,4,153,2,405,10,104,3
ENPEP,453,7,152,3,399,16,103,4
USP14,457,3,155,0,409,6,107,0
NR0B1,666,6,330,11,593,24,191,10
FAM8A1,459,1,155,0,409,6,106,1
ZNF540,457,3,151,4,400,15,105,2
ST8SIA6,454,6,150,5,402,13,100,7
ECRG4,460,0,155,0,411,4,107,0
PABPC1L,454,6,153,2,405,10,104,3
WNT10B,460,0,154,1,408,7,103,4
RFPL1,460,0,152,3,407,8,106,1
TUBA4A,456,4,154,1,410,5,105,2
HLA-A,1704,7,1095,5,1668,11,579,8
RAB5C,458,2,155,0,413,2,107,0
SDF4,459,1,153,2,410,5,106,1
CLSPN,457,3,152,3,407,8,100,7
WDR89,457,3,155,0,407,8,107,0
TRAM1L1,458,2,153,2,406,9,104,3
UGT2B11,624,2,315,5,550,26,172,7
MNDA,451,9,149,6,395,20,98,9
RNF126,459,1,155,0,414,1,107,0
CD86,458,2,155,0,402,13,104,3
RTEL1,1087,6,608,7,950,16,317,5
NOS1,660,12,333,8,595,22,194,7
RUFY3,456,4,154,1,405,10,105,2
SHROOM1,459,1,154,1,412,3,106,1
ADAM29,450,10,154,1,389,26,104,3
ESR2,642,13,338,5,583,33,184,6
C1QTNF6,460,0,155,0,412,3,107,0
VPS8,455,5,153,2,403,12,102,5
RPA2,462,1,158,1,413,4,107,1
GAB3,456,4,152,3,412,3,103,4
DPYD,524,10,234,3,491,16,133,8
TM9SF2,457,3,155,0,409,6,107,0
FHOD3,662,10,327,14,588,29,194,7
KHDRBS3,456,4,153,2,409,6,105,2
ZFP41,458,2,155,0,412,3,106,1
SCLT1,456,4,151,4,405,10,102,5
ATP2C1,455,5,153,2,402,13,103,4
REL,2357,5,1640,13,2273,20,835,10
PSG7,451,9,149,6,396,19,101,6
NT5C3A,456,4,155,0,411,4,107,0
LINS1,454,6,154,1,407,8,106,1
HIF1A,557,4,236,1,493,4,149,1
CLEC4M,457,3,154,1,409,6,105,2
ASPRV1,459,1,155,0,410,5,107,0
RP1,441,19,146,9,370,45,98,9
EMX2,457,3,155,0,406,9,104,3
COMMD9,460,0,154,1,413,2,106,1
OR7C2,459,1,154,1,410,5,104,3
EXOSC9,459,1,154,1,413,2,106,1
CSF3,460,0,155,0,412,3,107,0
AGAP1,456,4,152,3,398,17,106,1
MICALL2,457,3,151,4,407,8,104,3
NOSTRIN,455,5,153,2,414,1,106,1
PRSS27,460,0,155,0,411,4,107,0
SNX25,458,2,155,0,407,8,105,2
TDG,670,2,337,4,610,7,198,3
NIPBL,448,12,150,6,390,26,102,6
TMEM37,459,1,155,0,413,2,106,1
CHML,457,3,152,3,407,8,103,4
C17orf98,460,0,155,0,412,3,107,0
OR1G1,456,4,155,0,411,4,107,0
CCNI,457,3,154,1,412,3,106,1
OR2T10,458,2,152,3,401,14,101,6
SPATA20,457,3,150,5,408,7,105,2
KCTD16,456,4,153,2,399,16,106,1
CHD8,442,18,147,8,396,19,104,3
KCNA4,452,8,151,4,389,26,98,9
