third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
RALGDS,520,5,210,5,465,8,123,4
PCDHA12,443,17,139,16,374,41,93,14
CNTNAP5,810,28,490,16,707,71,249,24
PCF11,452,8,148,7,396,19,103,4
VPS18,458,2,154,1,407,8,104,3
GSN,676,3,343,1,614,7,201,2
TRPC5,451,9,147,8,392,23,98,9
SCN7A,452,8,151,4,380,35,90,17
PTPRA,460,0,150,5,409,6,105,2
DNM3,667,5,336,5,604,13,199,2
TTN,338,122,88,67,181,234,36,71
TMEM132C,663,9,336,5,601,16,197,4
DOCK7,450,10,145,10,388,27,103,4
APAF1,620,6,318,2,570,6,176,3
KIF5A,448,12,151,4,390,25,97,10
ANKRD30A,446,14,143,12,351,64,92,15
SEZ6L,446,14,149,6,388,27,94,13
FAM91A1,456,4,153,2,398,17,107,0
AMER1,1462,14,896,51,1371,64,438,29
LRRK2,531,17,227,3,450,42,138,8
PBXIP1,457,3,154,1,406,9,102,5
POGZ,458,2,154,1,405,10,106,1
DNAH5,640,32,327,14,550,67,179,22
HIPK2,455,5,155,0,405,10,103,4
PCDHB13,452,8,152,3,400,15,100,7
RSF1,449,11,155,0,409,6,105,2
UMODL1,674,5,338,6,608,13,197,6
MPRIP,455,5,151,4,403,12,105,2
LAMA1,650,22,330,11,570,47,188,13
DNAH3,432,28,146,9,351,64,89,18
PDE2A,451,9,151,4,405,10,98,9
BRD8,452,8,152,3,405,10,100,7
TTC7A,453,7,155,0,404,11,105,2
NCAPG,458,2,153,2,406,9,106,1
PRR12,449,11,152,3,402,13,106,1
SLITRK5,451,9,148,7,387,28,100,7
PHF2,454,6,154,1,408,7,105,2
ADAMTSL2,459,1,152,3,410,5,102,5
CCDC88B,454,6,154,1,409,6,106,1
ITIH6,448,12,146,9,390,25,99,8
CAMSAP3,457,3,154,1,409,6,106,1
POLR1B,456,4,153,2,404,11,107,0
OTOF,442,18,136,19,383,32,93,14
IGF1R,2345,33,1651,25,2263,54,826,27
TCHH,442,18,152,3,381,34,100,7
CHD6,446,14,148,7,378,37,97,10
PRR14L,459,1,154,1,408,7,107,0
WDR90,476,9,190,4,443,9,116,6
ATP9A,664,8,339,2,604,13,195,6
WWC2,455,5,151,4,404,11,105,2
TET1,1609,34,1071,25,1501,79,521,23
CLCN1,449,11,146,9,375,40,100,7
ASTN1,428,32,137,18,339,76,84,23
SBF2,451,9,154,1,396,19,103,4
BUB1B,1032,14,653,6,915,18,335,6
IGFN1,446,14,148,7,388,27,100,7
HR,454,6,153,2,401,14,103,4
PCNX1,451,9,147,8,396,19,100,7
AFF3,516,9,213,2,459,14,123,4
CNTNAP2,647,25,317,24,548,69,173,28
NLRP1,492,6,195,6,435,22,121,5
MEGF10,439,21,151,4,386,29,98,9
ZNF521,731,12,395,12,641,48,208,15
PRR36,460,0,153,2,415,0,107,0
MAP1S,459,1,153,2,410,5,106,1
ELP1,459,1,153,2,406,9,104,3
KALRN,443,17,142,13,352,63,91,16
IPO13,456,4,151,4,407,8,104,3
DAAM2,459,1,155,0,406,9,105,2
ADAMTS7,454,6,148,7,395,20,104,3
ARFGEF1,449,11,144,11,404,11,98,9
KIF4B,446,14,148,7,392,23,97,10
GOLGA2,454,6,151,4,408,7,105,2
NEK1,458,2,149,6,404,11,104,3
CNTNAP4,444,16,140,15,377,38,97,10
ABCC9,448,12,151,4,386,29,102,5
PLCB1,650,22,332,9,574,43,188,13
THSD7A,654,18,331,10,568,49,185,16
POLG,456,4,151,4,410,5,106,1
COL11A1,411,49,131,24,325,90,70,37
PTPRQ,457,3,153,2,402,13,104,3
COL24A1,444,16,148,7,368,47,97,10
AHDC1,457,3,154,1,406,9,104,3
CR1,444,16,147,8,388,27,96,11
KMT2C,1397,72,900,41,1317,113,425,42
DSCAML1,446,14,150,5,378,37,98,9
KCP,457,3,154,1,404,11,103,4
SPTA1,455,57,167,51,356,136,96,39
FAM135B,903,22,545,20,751,87,274,24
ADGB,452,8,147,8,400,15,104,3
ASPM,439,21,137,18,358,57,86,21
COL4A3,456,4,154,1,404,11,97,10
PTPRK,452,8,151,4,395,20,95,12
CROCC,441,19,147,8,387,28,99,8
ROBO2,886,15,524,18,771,47,283,14
CNOT1,452,8,149,6,399,16,104,3
DSP,445,15,153,2,391,24,98,9
NALCN,646,26,318,23,543,74,180,21
PPL,452,8,151,4,405,10,102,5
SIGLEC1,448,12,148,7,390,25,100,7
KAT6A,747,25,415,18,700,23,219,17
SNAPC4,458,2,152,3,405,10,105,2
PLXNC1,454,6,152,3,403,12,101,6
SPHKAP,433,27,141,14,365,50,91,16
RTTN,452,8,147,8,393,22,102,5
CTTNBP2,448,12,150,5,392,23,94,13
CCDC168,453,7,147,8,395,20,103,4
NUP210,665,7,338,3,590,27,197,4
TRPM6,447,13,149,6,385,30,89,18
MYH7,440,20,136,19,367,48,94,13
QRICH2,458,2,154,1,409,6,105,2
CEP290,453,7,151,4,405,10,105,2
ARHGEF12,692,13,353,8,621,26,193,11
WDR87,457,3,149,6,401,14,103,4
CCDC88A,453,7,153,2,399,16,101,6
TICRR,457,3,152,3,401,14,106,1
SI,422,38,137,18,322,93,77,30
HELZ,456,4,151,4,390,25,103,4
SYNE1,462,36,184,17,369,88,104,22
CAMTA1,869,21,558,1,800,31,283,6
JMJD1C,453,7,151,4,387,28,105,2
ANK2,423,37,129,26,313,102,73,34
FLNB,451,9,150,5,396,19,101,6
NUMA1,525,6,219,2,470,17,126,3
HERC2,600,26,306,14,522,54,159,20
OTOGL,442,18,139,16,378,37,91,16
COL27A1,454,6,148,7,389,26,103,4
HEATR1,440,20,150,5,387,28,102,5
DOCK10,443,17,141,14,373,42,98,9
CAD,475,10,190,4,427,25,117,5
AGRN,450,10,152,3,399,16,101,6
SPEG,441,19,144,11,374,41,93,14
UNC79,429,31,144,11,355,60,89,18
ABCA13,597,29,298,22,496,80,153,26
BOD1L1,454,13,148,10,381,38,96,13
SRCAP,445,15,149,6,369,46,101,6
CSMD1,786,52,465,41,697,81,234,39
HECTD4,445,15,141,14,385,30,96,11
DNAH1,442,18,148,7,400,15,102,5
SACS,653,19,325,16,585,32,188,13
NEB,424,36,136,19,342,73,79,28
DNAH2,445,15,147,8,382,33,102,5
NSD2,452,8,152,3,405,10,101,6
WT1,2356,22,1650,26,2262,60,815,38
WWTR1,1328,4,813,2,1177,7,416,1
XIAP,1356,10,844,6,1305,15,427,3
XPO1,2271,13,1607,10,2216,37,815,10
XRCC2,1599,5,1074,2,1517,11,529,9
YAP1,1573,5,1030,6,1509,13,517,7
YES1,1424,5,882,4,1343,17,446,8
ZFHX3,1279,35,784,26,1169,66,379,30
ZRSR2,1826,8,1268,10,1707,7,609,9
ABL1,2726,27,2012,33,2728,62,1015,25
ACVR1,1608,6,1067,4,1500,14,537,5
AGO2,1080,13,613,2,952,14,309,13
AKT2,2371,14,1661,14,2317,15,847,10
AKT3,2338,20,1641,20,2278,38,840,16
ALOX12B,2006,16,1362,9,1970,23,699,8
ANKRD11,1506,20,978,18,1410,27,490,13
AR,2260,51,1573,58,2184,85,787,39
ARAF,2385,27,1657,23,2304,28,846,14
ARID5B,1357,12,843,11,1305,17,426,5
ASXL1,2281,34,1599,41,2201,81,790,39
ASXL2,1357,9,836,14,1285,35,420,10
ATR,2085,43,1395,51,1985,107,699,56
AURKA,2301,4,1620,5,2241,19,819,5
AURKB,2364,4,1655,6,2285,15,845,3
AXIN1,1452,9,935,6,1406,21,457,7
AXIN2,1598,8,1065,14,1534,27,524,16
B2M,1848,11,1293,10,1753,29,620,17
BABAM1,1300,5,799,2,1157,11,413,3
BARD1,2085,34,1409,29,2017,77,729,23
BBC3,1361,5,848,2,1316,4,430,0
BCL10,1378,1,867,3,1287,6,426,3
BCL2,2363,5,1657,3,2287,12,841,6
BCL2L1,1898,1,1330,3,1821,7,652,1
BCL2L11,1397,2,867,3,1341,9,432,1
BCL6,2352,16,1647,14,2257,43,832,16
BCOR,2233,66,1543,78,2163,96,776,46
BIRC3,1592,2,1057,3,1491,6,522,2
BLM,2269,26,1592,25,2205,55,806,15
BMPR1A,1969,7,1366,7,1860,12,668,6
BRD4,1898,18,1326,18,1799,45,643,9
BRIP1,2276,29,1597,28,2184,76,792,32
BTK,1899,17,1233,27,1847,43,640,21
CALR,1594,7,1062,5,1498,11,522,5
CARD11,2266,42,1570,57,2165,107,785,40
CARM1,1091,2,614,1,963,3,318,4
CBFB,2024,2,1382,3,2017,8,720,5
CCND2,2337,10,1638,14,2272,20,838,10
CD274,1884,5,1330,0,1821,7,644,7
CD276,1362,4,847,3,1315,5,426,4
CD79A,1790,5,1178,1,1751,6,614,1
CD79B,2271,4,1599,8,2217,22,817,4
CDC42,1093,0,614,1,960,6,321,1
CDC73,2291,14,1604,21,2225,35,806,18
CDH1,2723,24,2022,17,2727,49,1030,8
CDK12,2039,26,1398,12,1994,58,716,15
CDK6,2369,5,1662,5,2295,14,839,11
CDK8,2086,6,1414,8,2045,20,744,7
CDKN1A,1952,3,1367,3,1861,9,671,5
CDKN1B,2363,5,1649,14,2293,15,840,8
CDKN2B,2367,4,1659,4,2303,4,844,5
CEBPA,2302,14,1609,13,2203,13,819,9
CENPA,1311,3,807,3,1217,18,407,2
CHEK1,2128,6,1445,7,2081,25,744,13
CHEK2,2359,21,1649,24,2282,41,832,20
CRKL,2362,6,1659,2,2288,12,843,5
CRLF2,2242,14,1578,15,2208,21,810,6
CSDE1,1080,13,611,4,947,19,319,3
CSF1R,2436,25,1766,37,2468,59,897,26
CSF3R,1762,9,1229,12,1648,30,593,9
CTCF,2045,8,1391,9,2011,31,708,19
CTLA4,1603,2,1048,2,1526,12,520,5
CXCR4,1561,3,1038,7,1465,21,521,1
CYLD,1697,12,1142,5,1494,32,559,11
CYSLTR2,1196,7,662,10,1017,15,354,5
DAXX,2045,11,1389,11,2001,40,717,11
DCUN1D1,1361,5,849,1,1313,7,427,3
DDR2,2403,35,1661,42,2295,78,851,31
DICER1,1889,30,1320,25,1776,63,635,18
DIS3,2201,40,1529,31,2147,52,767,36
DNAJB1,1336,3,848,1,1268,4,423,1
DNMT1,1379,12,883,6,1343,14,435,10
DNMT3A,2248,61,1573,61,2185,83,778,49
DNMT3B,1356,10,839,11,1295,25,416,14
DOT1L,1802,36,1185,25,1778,60,601,31
DROSHA,1076,17,602,13,922,44,304,18
DUSP4,1091,2,612,3,955,11,316,6
E2F3,1424,5,882,4,1348,12,450,4
EED,1773,9,1243,7,1716,16,612,3
EGFL7,1363,3,849,1,1319,1,429,1
EIF1AX,1366,47,844,27,1313,33,429,14
EIF4A2,1340,4,825,3,1238,15,401,10
EIF4E,1373,4,845,1,1270,5,432,1
EP300,2257,54,1597,34,2199,75,793,33
EPAS1,1087,6,615,0,952,14,316,6
EPCAM,1608,2,1072,6,1542,21,538,3
EPHB1,1887,20,1219,31,1780,99,626,32
ERCC2,1970,20,1366,20,1865,23,658,19
ERCC3,1876,13,1299,18,1768,29,631,8
ERCC4,1917,15,1330,23,1821,37,637,19
ERCC5,1868,21,1286,31,1735,62,620,19
ERF,1087,6,615,0,961,5,320,2
ERG,2276,12,1582,23,2208,36,814,11
ERRFI1,1375,4,879,4,1308,16,438,3
ESR1,2308,15,1632,14,2244,66,831,15
ETV1,2278,11,1596,15,2209,34,807,11
ETV6,2343,16,1647,6,2273,21,834,10
EZH1,1087,6,609,6,952,14,318,4
EZH2,2586,13,1916,12,2627,32,957,15
ABRAXAS1,460,0,155,0,413,2,107,0
TENT5C,459,1,155,0,414,1,106,1
CCNQ,457,3,153,2,415,0,107,0
FANCA,2274,37,1599,32,2194,75,793,33
FANCC,2295,10,1611,14,2238,22,813,11
FGF19,1840,7,1213,7,1834,15,624,11
FGF3,1904,6,1246,10,1867,22,648,11
FGF4,1874,3,1231,5,1847,17,652,4
FH,1979,16,1375,16,1852,39,674,7
FLCN,1919,13,1341,14,1824,27,645,12
FLT1,2330,52,1596,74,2197,127,798,55
FLT3,2730,29,2014,37,2712,87,1004,38
FOXA1,1631,6,1086,6,1561,18,537,5
FOXL2,2049,16,1399,11,2020,32,727,4
FOXO1,1588,3,1050,7,1484,12,519,5
FOXP1,1515,9,963,10,1429,30,478,9
FUBP1,1426,8,918,9,1395,16,454,9
FYN,1371,9,843,8,1261,17,429,6
GATA1,1862,11,1222,12,1848,18,650,8
GATA2,2048,4,1386,14,2011,29,713,14
GATA3,2281,24,1600,25,2192,68,798,26
GLI1,1794,33,1252,32,1663,70,591,36
GNA11,2707,10,2020,10,2769,23,1026,17
GNAQ,2701,13,2023,5,2772,11,1022,21
GPS2,1318,3,809,4,1233,6,409,2
GREM1,1622,5,1094,1,1589,5,549,1
GRIN2A,1979,58,1329,57,1890,138,673,49
GSK3B,1869,5,1230,2,1842,20,648,7
H3-3A,460,0,155,0,413,2,106,1
H3-3B,457,3,155,0,409,6,105,2
HGF,1810,37,1170,50,1724,130,574,61
H1-2,458,2,152,3,405,10,106,1
H2BC5,459,1,155,0,411,4,107,0
H3C1,460,0,155,0,411,4,107,0
H3C2,458,2,153,2,408,7,107,0
H3C3,456,4,155,0,412,3,105,2
H3C4,458,2,154,1,410,5,107,0
H3C6,460,0,153,2,410,5,107,0
H3C7,460,0,155,0,410,5,106,1
H3C8,457,3,155,0,413,2,106,1
H3C10,458,2,155,0,412,3,103,4
H3C11,455,5,155,0,410,5,106,1
H3C12,459,1,154,1,410,5,107,0
H3C14,460,0,155,0,415,0,107,0
H3C13,460,0,154,1,411,4,107,0
H3-4,460,0,154,1,408,7,105,2
HLA-B,1113,4,631,4,989,12,332,1
HNF1A,2296,15,1710,21,2294,27,828,16
HOXB13,1552,5,1011,8,1457,19,511,5
ICOSLG,1364,2,848,2,1316,4,427,3
ID3,1815,5,1274,0,1703,7,619,2
IDH1,2733,13,2022,20,2775,24,1027,18
IDH2,2646,12,1957,8,2714,12,1001,4
IFNGR1,1362,4,847,3,1307,13,423,7
IGF1,1758,5,1136,4,1755,9,603,5
IGF2,2003,13,1370,6,1990,23,713,10
IKBKE,1905,11,1250,10,1868,27,648,13
IKZF1,2241,34,1569,37,2158,83,792,29
IL7R,2027,19,1367,27,1951,80,692,33
INHA,1311,3,805,5,1224,11,404,5
INPP4A,1358,8,843,7,1296,24,422,8
INPP4B,1428,21,905,28,1364,61,439,29
INPPL1,1083,10,608,7,945,21,308,14
INSR,1461,17,939,6,1407,25,467,13
IRF4,1833,11,1206,8,1815,24,622,12
IRS1,1420,9,872,14,1313,47,442,12
IRS2,1877,33,1225,29,1825,56,641,18
JAK1,2112,19,1437,13,2074,31,747,12
JAK3,2710,43,2001,44,2718,67,1010,30
JUN,1904,6,1250,4,1867,14,654,5
KDM5A,2032,24,1372,29,1999,54,709,18
KDM5C,2172,53,1530,39,2131,73,767,34
KDM6A,2287,24,1598,33,2217,57,803,23
KIT,2772,43,2039,45,2774,79,1040,31
KLF4,1623,7,1070,19,1557,18,532,8
KMT2A,1892,55,1326,47,1789,89,625,37
KMT2B,1099,22,636,22,974,31,323,15
KMT5A,461,0,157,1,416,2,110,0
KNSTRN,1096,3,616,5,967,8,321,3
LATS1,1406,23,879,7,1324,36,449,5
LATS2,1415,14,874,12,1329,31,443,11
LMO1,2271,5,1594,10,2221,20,812,3
LYN,1217,7,723,5,1087,10,374,5
MALT1,1370,9,865,5,1280,13,426,3
MAP2K2,2116,12,1438,8,2078,14,752,3
MAP2K4,2370,12,1659,11,2289,30,838,15
MAP3K1,2337,39,1626,40,2271,52,828,23
MAP3K13,1824,15,1177,9,1788,28,621,15
MAP3K14,1399,3,884,1,1304,8,444,4
MAPK1,1945,2,1354,5,1834,10,666,3
MAPK3,1375,2,845,1,1265,10,431,2
MAPKAP1,1090,3,612,3,956,10,320,2
MCL1,2294,11,1616,9,2230,30,813,11
MDC1,1352,14,840,10,1278,42,418,12
MDM4,2358,16,1655,12,2277,32,844,6
MED12,1958,101,1320,86,1908,143,674,55
MEF2B,2288,8,1608,9,2241,16,815,6
MEN1,2353,15,1649,12,2276,24,835,13
MITF,2296,9,1611,14,2232,28,810,14
MLH1,2736,17,2028,17,2758,27,1029,11
MPL,2733,14,2021,18,2748,28,1026,12
MRE11,600,9,271,4,629,16,161,5
MSH3,1129,5,662,6,990,27,337,5
MSH6,2341,36,1647,24,2266,56,834,20
MSI1,1093,0,614,1,956,10,321,1
MSI2,1119,1,626,3,974,8,319,4
MST1,1373,4,844,2,1270,5,432,1
MST1R,1431,11,909,10,1336,25,457,7
MUTYH,2291,14,1608,17,2227,33,806,18
MYCL,1933,7,1355,5,1835,28,649,9
MYCN,2363,11,1659,8,2275,34,837,13
MYD88,2309,6,1633,7,2267,10,822,7
MYOD1,1359,7,839,11,1296,24,422,8
NBN,2276,32,1593,34,2225,39,806,18
NCOR1,1759,32,1157,26,1725,78,604,20
NEGR1,1684,8,1152,9,1570,28,554,21
NF2,2360,17,1658,13,2286,36,846,8
NFKBIA,2234,10,1569,8,2157,15,792,8
NKX3-1,1570,8,1033,3,1514,8,521,3
NOTCH1,2726,42,2003,59,2727,100,1000,58
NOTCH3,2043,45,1385,40,2004,67,714,36
NOTCH4,1839,36,1193,36,1765,104,618,40
NPM1,2644,10,1979,6,2693,14,995,14
NSD1,2006,40,1355,38,1940,90,694,30
NTHL1,1299,6,798,3,1164,4,416,0
NUF2,1083,10,603,12,950,16,307,15
NUP93,1766,7,1149,11,1717,24,596,11
PAK1,1423,6,883,3,1348,12,447,7
PAK5,592,17,264,11,595,50,150,16
PALB2,2297,20,1609,28,2221,62,806,22
PRKN,452,8,147,8,406,9,100,7
PARP1,1801,13,1183,13,1788,30,623,8
PAX5,2296,13,1619,15,2237,31,809,18
PDCD1,1431,9,908,15,1383,18,446,7
PDCD1LG2,1638,5,1106,3,1479,11,540,4
PDGFRB,2355,19,1625,42,2226,83,810,40
PDPK1,1363,3,846,4,1318,2,428,2
PGR,1303,11,796,14,1181,54,393,16
PHOX2B,1944,8,1340,13,1814,23,649,14
PIK3C2G,2026,25,1342,30,1935,83,678,52
PIK3C3,1821,12,1163,16,1751,57,619,15
PIK3CB,1715,13,1160,2,1640,27,582,5
PIK3CD,1459,11,930,6,1390,14,464,10
PIK3CG,1870,27,1194,50,1764,105,604,51
PIK3R2,1888,9,1234,10,1845,24,644,11
PIK3R3,1425,4,885,1,1344,16,451,3
PIM1,1963,2,1357,5,1840,8,665,1
PLCG2,1629,19,1086,12,1520,38,545,12
PLK2,1361,5,842,8,1299,21,425,5
PMAIP1,1364,2,850,0,1320,0,430,0
PMS1,1872,20,1298,23,1766,33,625,15
PMS2,2254,30,1601,16,2204,49,817,8
PNRC1,2006,3,1356,5,1970,11,702,1
PPARG,1574,5,1057,6,1430,14,521,5
PPM1D,1516,10,984,12,1422,15,495,8
PPP4R2,1088,5,610,5,959,7,319,3
PPP6C,1320,1,808,5,1230,9,409,2
PRDM1,2290,15,1614,11,2223,37,809,15
PRDM14,1085,8,602,13,938,28,309,13
PREX2,1123,29,654,27,963,84,327,25
PRKAR1A,2334,4,1639,4,2262,20,841,5
PRKCI,1676,6,1131,4,1482,34,560,8
PRKD1,1381,12,864,12,1200,45,440,15
PTCH1,2279,32,1594,37,2196,73,785,41
PTP4A1,1089,4,613,2,964,2,321,1
PTPN11,2776,27,2056,12,2769,43,1037,14
PTPRS,1356,10,831,19,1288,32,414,16
PTPRT,1559,57,1019,63,1440,124,491,52
RAB35,1311,3,809,1,1231,4,409,0
RAC1,1736,3,1158,6,1689,5,589,1
RAC2,1092,1,614,1,965,1,319,3
RAD21,1834,13,1274,14,1704,22,616,6
RAD50,2033,16,1368,28,2001,37,703,23
RAD51,2053,6,1403,3,2042,9,725,4
RAD51B,2262,5,1576,1,2203,17,801,3
RAD51C,2014,12,1374,10,2009,19,716,9
RAD51D,2017,9,1378,6,2012,16,716,9
RAD52,1978,10,1334,2,1968,10,702,4
RAD54L,1764,15,1145,9,1770,8,604,9
RAF1,2394,27,1675,14,2309,26,850,13
RARA,2282,20,1608,13,2216,42,808,15
RECQL,1089,4,610,5,955,11,316,6
RECQL4,1782,27,1230,31,1688,53,599,17
COP1,454,6,151,4,405,10,103,4
RHEB,1756,5,1201,2,1642,5,600,1
RHOA,1670,5,1119,2,1600,10,565,1
RICTOR,2101,21,1419,23,2032,59,726,27
RNF43,2043,16,1383,23,2018,33,720,9
RPS6KA4,1422,7,877,9,1337,23,444,10
RPS6KB2,1428,1,883,3,1351,9,452,2
RPTOR,2021,32,1375,25,1981,61,709,18
RRAGC,1093,0,611,4,951,15,320,2
RRAS,1150,6,650,1,1001,5,345,1
RRAS2,1150,6,651,0,999,7,345,1
RUNX1,2343,19,1644,20,2266,43,834,17
RXRA,1088,5,613,2,960,6,318,4
RYBP,1362,4,847,3,1316,4,426,4
SDHA,1801,24,1273,12,1751,28,620,13
SDHAF2,1872,4,1307,3,1787,5,631,4
SDHB,1922,7,1345,6,1839,10,651,5
SDHC,1903,2,1336,5,1826,9,655,1
SDHD,1903,2,1340,1,1826,9,654,2
SESN1,1089,4,615,0,961,5,320,2
SESN2,1090,3,612,3,955,11,319,3
SESN3,1089,4,612,3,962,4,319,3
SH2B3,2218,10,1549,15,2137,19,783,12
SH2D1A,1610,6,1075,7,1551,13,539,4
SHOC2,1091,2,607,8,950,16,320,2
SLX4,1288,26,790,21,1138,41,402,17
SMAD2,2325,16,1632,15,2250,34,835,12
SMAD3,1688,5,1128,7,1627,12,573,3
SMARCB1,2677,10,1991,14,2707,36,1000,15
SMARCD1,1749,14,1135,5,1753,11,603,5
SMO,2723,33,2000,47,2715,71,993,45
SMYD3,1467,4,963,3,1307,22,481,7
SOCS1,2271,7,1606,5,2236,8,821,2
SOS1,1352,16,820,17,1173,35,431,9
SOX17,1364,2,841,9,1296,24,419,11
SOX2,2296,9,1622,3,2234,26,813,11
SOX9,1880,12,1324,10,1796,34,640,12
SPEN,1790,48,1186,24,1763,75,613,19
SPOP,2025,7,1380,12,2014,21,722,6
SPRED1,1085,8,612,3,960,6,315,7
SRC,2536,11,1859,6,2575,22,935,13
SRSF2,1826,8,1270,8,1693,21,613,5
STAG2,2245,60,1577,50,2171,102,774,50
STAT3,1932,11,1339,15,1791,24,654,7
STAT5A,1395,7,882,3,1300,12,445,3
STAT5B,1420,9,891,9,1315,14,445,5
STK19,1090,3,614,1,953,13,320,2
STK40,1361,5,849,1,1309,11,430,0
SUFU,2335,6,1641,6,2268,16,841,6
SUZ12,1877,6,1308,5,1783,13,631,6
SYK,2144,9,1459,12,2071,25,747,6
TAP1,1089,4,612,3,962,4,320,2
TAP2,1083,10,611,4,958,8,318,4
TBX3,1783,24,1160,37,1732,88,594,36
ELOC,459,1,154,1,413,2,107,0
TCF3,1817,23,1262,20,1692,23,601,19
TCF7L2,1822,15,1263,14,1693,19,607,11
TEK,1191,2,673,8,1041,12,350,11
TET2,2253,62,1576,64,2191,91,799,30
TGFBR2,1897,13,1235,19,1858,23,640,19
TMEM127,1573,5,1036,0,1515,7,522,2
TMPRSS2,2198,15,1550,7,2182,14,785,11
TNFAIP3,2295,10,1610,15,2225,35,814,10
TNFRSF14,1815,2,1198,2,1807,16,629,4
TOP1,1830,10,1210,3,1814,23,620,12
TP53BP1,1312,17,806,16,1176,28,416,12
TP63,1597,6,1067,8,1511,48,526,13
TRAF7,1626,7,1081,12,1552,25,529,12
TSHR,2133,23,1427,24,2025,72,735,27
UPF1,1083,10,610,5,957,9,319,3
VEGFA,1622,4,1086,4,1541,8,535,2
VTCN1,1364,2,847,3,1309,11,428,2
