gene,rate
AC011997.1,7.88659346432898e-07
AC012067.1,1.10260229078328e-06
AC012123.1,1.6265576969888e-06
AC012313.1,1.70072010344336e-06
AC012360.1,1.25887878911878e-06
AC012414.1,1.13301057671291e-06
AC012485.1,6.68750374971645e-07
AC012493.2,9.23326272408015e-07
AC013269.5,1.7289047064193e-06
AC013449.1,1.3772711424076e-06
AC013468.1,1.22062040146876e-06
AC013469.1,1.22798160444895e-06
AC015660.1,8.06630881755388e-07
AC015989.1,1.10651578086303e-06
AC016251.1,9.74639472712408e-07
AC016559.1,8.25883394759109e-07
AC016586.1,6.58653903719414e-07
AC016745.1,7.37941876857218e-07
AC016752.1,4.38914251689018e-07
AC016757.3,7.89704668282434e-07
AC016885.1,1.52317039557767e-06
AC017028.1,7.98615029578198e-07
AC017081.1,7.14869635815248e-07
AC018445.1,8.0858389535107e-07
AC018512.1,2.90785810911367e-07
AC018630.1,8.48548999459156e-07
AC018755.1,9.27837515327028e-07
AC018816.3,9.21841173336227e-07
AC018867.1,8.98028639165393e-07
AC019206.1,6.90747208727141e-07
AC019294.1,8.80080971227499e-07
AC020629.1,1.20111821850922e-06
AC020907.1,1.01849770841716e-06
AC020952.1,1.06898485714319e-06
AC021218.2,1.07920820411197e-06
AC021860.1,7.80795229534282e-07
AC022210.1,9.90747347953606e-07
AC022431.2,8.15733167860165e-07
AC022498.1,8.92981022049537e-07
AC022819.2,4.51125381074016e-07
AC023469.1,6.0659633831228e-07
AC023590.1,8.10258787825001e-07
AC023632.1,7.03310985280625e-07
AC024257.1,8.31499511395011e-07
AC024580.1,7.03485151869564e-07
AC025278.1,1.51824750930432e-06
AC025287.1,6.3047892520055e-07
AC026369.1,1.09724317170225e-06
AC026461.1,8.8735578694424e-07
AC026740.1,7.74111757992734e-07
AC027228.1,8.74230806202358e-07
AC027307.3,8.32858575667393e-07
AC027309.1,8.88514321225722e-07
AC027763.2,7.12575469409714e-07
AC037199.1,9.74722474039721e-07
AC051642.1,9.82582890737753e-07
AC055736.1,1.45064411307294e-06
AC061975.10,6.86826525301094e-07
AC062017.1,9.85384360796931e-07
AC064874.1,1.0218691426252e-06
AC068039.1,8.41615192102528e-07
AC068620.1,6.10063696179812e-07
AC069547.1,1.00644862260262e-06
AC069547.2,1.02744367420984e-06
AC073188.1,1.77409697422945e-06
AC073333.1,5.37804237282002e-07
AC073343.1,1.19728661617173e-06
AC073528.1,5.082721812202e-07
AC073569.1,6.94325270966237e-07
AC073657.1,7.44075834182536e-07
AC074091.13,7.75318444463832e-07
AC074212.3,1.14259682545199e-06
AC074389.6,1.14830136130267e-06
AC078925.1,7.93028084299592e-07
AC079354.1,8.10072884109176e-07
AC079354.2,6.45086586054956e-07
AC079602.1,7.81046621643866e-07
AC079612.1,1.16912686535955e-06
AC087239.1,5.02891496646974e-07
AC087477.1,1.10024591590316e-06
AC090427.1,1.82315312334386e-06
AC090574.1,2.2698320306394e-06
AC090616.2,1.06460401300124e-06
AC090673.2,7.90417859414754e-07
AC091150.1,1.04756599927916e-06
AC091801.1,1.3740069387485e-06
AC091948.1,1.4154891864549e-06
AC092291.2,8.54556147984436e-07
AC092384.1,1.5341516016293e-06
AC092675.3,1.26519002267239e-06
AC092687.4,7.86251237466655e-07
AC092782.1,1.45157222704631e-06
AC092811.1,6.89603998381785e-07
AC092964.1,8.62632447295079e-07
AC092964.2,8.01112771963184e-07
AC093323.1,5.64972203999919e-07
AC093802.1,1.61458427670914e-06
AC096582.1,9.56670827812442e-07
AC096644.1,2.04934498915586e-06
AC099344.1,6.47502335882414e-07
AC099552.4,1.88247426035939e-06
AC102948.2,1.60547365331994e-06
AC104057.1,9.99522999546372e-07
AC104472.1,9.84918541877786e-07
AC104809.3,9.5689485886265e-07
AC105020.1,5.88773770889405e-07
AC106017.1,8.33471368142515e-07
AC106873.4,1.03653643167286e-06
AC106876.2,1.12282334181325e-06
AC107021.1,8.66723589212439e-07
AC108868.1,1.41370180270634e-06
AC109583.1,6.12368407187749e-07
AC110084.1,6.15766236058227e-07
AC110619.2,8.64930161952568e-07
AC110771.1,7.26749998075747e-07
AC110781.3,9.66100647264481e-07
AC110792.1,6.21241096100549e-07
AC111200.1,1.21640927749785e-06
AC112693.2,1.39705524206677e-06
AC112715.2,9.21212713927905e-07
AC112721.1,1.43192803070023e-06
AC114783.1,1.55609173499338e-06
AC116407.2,9.56403191854663e-07
AC117395.1,1.14057544774747e-06
AC121757.1,8.92245710711349e-07
AC126614.1,5.17702301061866e-07
AC127496.1,1.04878072933785e-06
AC131097.4,1.07139990795587e-06
AC131935.1,7.74332107854398e-07
AC132216.1,8.99245733427115e-07
AC132872.2,7.44818324488313e-07
AC135178.1,6.92223226201756e-07
AC135983.2,5.86948910708897e-07
AC136604.1,7.03308273721443e-07
AC137056.1,1.58084944188129e-06
AC138393.1,7.19938924321809e-07
AC138517.1,7.7951473436175e-07
AC138647.1,1.75012531878336e-06
AC138655.1,9.82304488985305e-07
AC139100.2,8.50319620300346e-07
AC139768.1,5.60943236976131e-07
AC140061.12,7.09182068508088e-07
AC140481.2,1.5919870923617e-06
AC142381.1,8.30459690923157e-07
AC144568.2,1.03393743706699e-06
AC145676.2,6.9170231586194e-07
AC187652.1,6.03513580451513e-07
AC226150.4,1.27172303727676e-06
ACAA1,8.23790697828067e-07
ACAA2,7.50894408152243e-07
ACACA,5.96186588213796e-07
ACACB,1.02227271164855e-06
ACAD10,7.22611573573316e-07
ACAD11,7.22876958107174e-07
ACAD8,9.09694970296453e-07
ACAD9,8.91726784462407e-07
ACADL,6.00084078055656e-07
ACADM,5.97067377266017e-07
ACADS,1.1123183854076e-06
ACADSB,7.13703618062425e-07
ACADVL,7.67011945713776e-07
ACAN,8.91526791424179e-07
ACAP1,7.81837339325458e-07
ACAP2,8.79757897823728e-07
ACAP3,9.32465018035025e-07
ACAT1,7.05828708797692e-07
ACAT2,6.0364126891357e-07
ACBD3,8.46692651984105e-07
ACBD4,8.97945197241349e-07
ACBD5,1.09796500066553e-06
ACBD6,7.35730485479978e-07
ACBD7,1.04557298383713e-06
ACCS,8.14341539676469e-07
ACCSL,1.26532583656484e-06
ACD,8.26696435914439e-07
ACE,1.34772516971144e-06
ACE2,8.99591762639824e-07
ACER1,1.54353544861748e-06
ACER2,8.86894811284774e-07
ACER3,9.43940510257062e-07
ACHE,8.7607752016407e-07
ACIN1,5.77930335454566e-07
ACKR2,1.164261903351e-06
ACKR3,1.55553551950315e-06
ACKR4,1.16312388921984e-06
ACLY,1.18868992447975e-06
ACMSD,1.10344402265953e-06
ACN9,8.09638316617577e-07
ACO1,8.60013347709541e-07
ACO2,1.20074076777136e-06
ACOT1,9.7549412474116e-07
ACOT11,1.17534155210038e-06
ACOT12,9.90142476448952e-07
ACOT13,7.19935201439371e-07
ACOT2,1.03249908277984e-06
ACOT4,9.81342646759042e-07
ACOT6,6.33047470784319e-07
ACOT7,1.36219645854463e-06
ACOT8,9.85737691141843e-07
ACOT9,9.44882199119916e-07
ACOX1,8.22567414428244e-07
ACOX2,1.03910131198394e-06
